index,phase,x00,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,keff,keff_std,ppf,score
0,LHS,0.7285012208734455,0.8489200433402208,0.7817056133357949,0.17507311030390657,0.2751617403364542,0.8617882680100901,0.728857230500268,0.5892759915200846,0.5242190657590126,0.26526705728067873,0.7119222771046505,0.029812083643094393,0.8154481911088705,0.5049232885202547,0.15434960558812968,0.771465591061534,0.8734837559162268,0.33156063177488404,0.22701024522242827,0.03800932224660931,0.1178308961087396,1.270230018415547,0.002005792411210208,1.1038180425815587,-86.0230018415547
1,LHS,0.9623742786630591,0.08414727710014157,0.28074663551882784,0.8117115695257289,0.18903781367077868,0.5425910832298046,0.4987832287281326,0.051269736331457004,0.6754708624099318,0.4237566067803384,0.028680285210160836,0.7131715178294958,0.01748723038792031,0.542512338575672,0.30029246224765876,0.19083551374068133,0.9312304187159461,0.160363629193031,0.4813940557032636,0.09896800225354636,0.53242560566506,1.267929599068333,0.002071284495201927,1.1053293698050022,-79.7929599068333
2,LHS,0.4527704138332709,0.2968787044060544,0.4213261166279111,0.31097876784731104,0.9059033783602728,0.6031019971130488,0.0921529026673618,0.5794513198997414,0.6055581054868026,0.5275732702846943,0.783696545069385,0.2870874762057769,0.23041207281593515,0.33942419358272313,0.34836345067949054,0.9842016334457528,0.3850056389408984,0.8857074979573341,0.8980999177280425,0.7091362164960241,0.8731878859310781,1.274074457764232,0.0018061245963418378,1.1025436928012782,-74.4074457764232
3,LHS,0.5620833650717771,0.3434800466666503,0.206845016648389,0.7900220233126274,0.13044583060937187,0.7491439490397794,0.1823134058546566,0.4384837590883464,0.04420753767431566,0.5318499146314398,0.8823905698370739,0.9150471460641926,0.6310726696660557,0.8529557289509255,0.06494676347980848,0.8456379957682978,0.728225049747044,0.45376906832423924,0.5998225871822203,0.31072165598149903,0.1620285300025638,1.2692635886585246,0.0018813183921397678,1.1013093054342606,-73.92635886585246
4,LHS,0.999369109079615,0.8863875594228988,0.9243789069278764,0.45939229915968366,0.5232980061379555,0.013859867358239901,0.8291024415913009,0.7306577673589518,0.9876067701229435,0.40608274371954217,0.7416246641903368,0.3713810390800309,0.8510607608179614,0.4142319466856639,0.2744998360522079,0.3343917315402913,0.08587275859145535,0.7305636907274792,0.18705916773723558,0.47307843396256316,0.6728124748898391,1.2746522719018516,0.0017820156700284404,1.1205592249037204,-80.46522719018516
5,LHS,0.0356419391900279,0.6819621804960059,0.10354884550430114,0.7473224732735139,0.44714993342933773,0.7651173252823997,0.2721565732001325,0.630390093773593,0.4839105675293918,0.9950896449183547,0.003982936552989569,0.7844855686156885,0.20223714011247396,0.09910852667291378,0.8992414210915989,0.31710838975242406,0.2319487055123661,0.3032098799683364,0.5162275721619275,0.9155107173927252,0.04183358835431891,1.2736564128629206,0.0019964344851586017,1.1037641838090322,-80.36564128629206
6,LHS,0.21305941076853374,0.7737632169759432,0.9693499175632625,0.4836765396617302,0.8841501953184198,0.02985777448953341,0.1505260794527668,0.18480917209625453,0.8724745696810717,0.47158878136028615,0.5289289107432932,0.06993601564047498,0.6727017992430476,0.7199241666688212,0.9587039352544955,0.8752581390457077,0.44617148736180606,0.9563408874339979,0.0424030721928624,0.8814728982474473,0.9074564167404847,1.2716959283626394,0.002131570073623543,1.108152391554347,-74.16959283626394
7,LHS,0.09664798882023506,0.015585792769304259,0.05495522000332415,0.949269668772379,0.3362177563377842,0.2738819697500386,0.40127677379058196,0.0247617849684599,0.9257711085266719,0.32552128378224976,0.17612714903633606,0.7298057051586977,0.7842042363356206,0.691451640390114,0.9745552265239552,0.7436051669195867,0.7767385401062172,0.7901429869613477,0.5730299365593767,0.19917250713521073,0.0608819035537694,1.2715149049615522,0.0017950486624509919,1.112053189205414,-92.15149049615522
8,LHS,0.630079475199369,0.4179750168036182,0.6863633933849967,0.3745817464102302,0.020667636373122147,0.8073321230541954,0.6898720050671662,0.804308038350213,0.40458063722213783,0.72243401210956,0.8085645203818079,0.3958719994595292,0.058589097475596534,0.8918487044528371,0.7633650455448209,0.43566863744914464,0.6452218768858059,0.8427316315786733,0.4340650630868414,0.6918203703316246,0.4792558441291937,1.2718056213000344,0.0016995362427178068,1.1238144029802084,-74.18056213000344
9,LHS,0.714931652335476,0.7795329680407284,0.24330637291650875,0.9132567240996808,0.28246909244097484,0.10685321342709739,0.772798102551174,0.344461589124421,0.19792883219895932,0.9667657037301507,0.6302687868638863,0.8117387544933006,0.6952270437205287,0.8194238559388238,0.5515584027069097,0.1385017697858833,0.9102873325000318,0.5241160495059299,0.1200650368440873,0.38550465264920747,0.2637130574549824,1.2716723561591157,0.002048049602539737,1.1022240235888177,-80.16723561591157
10,LHS,0.869603821232142,0.5394134275216416,0.38333956523166507,0.6443298742727149,0.9523498019551165,0.6461393332245683,0.13524839579007464,0.27434017212082373,0.8075677069164859,0.12784505017152945,0.10275142522830723,0.31976155429579073,0.6482537718676782,0.9456771317486952,0.7975987159199429,0.946533099185777,0.19375390301704842,0.37346672104647705,0.9268340246755256,0.0803917387847013,0.1905461223037802,1.271123903038855,0.0018969849467815945,1.1156107871157652,-98.1123903038855
11,LHS,0.12724682446343602,0.3898268913293561,0.9834432624101562,0.835193799399994,0.8387677523440842,0.514794955512353,0.3115343486318837,0.999504533778417,0.7191904445342852,0.5880714273643685,0.1445328586576344,0.8824266460564879,0.42970084470558184,0.9831662272027776,0.11478502906177747,0.038802578962813174,0.6829841230757311,0.07293933212757825,0.654836608711847,0.45411302706722295,0.4203474824513243,1.2719884343020047,0.0019878056605179494,1.1029716312745983,-92.19884343020047
12,LHS,0.3762806421645472,0.49311556769579556,0.3545371565834005,0.6181662699932375,0.39398420101600246,0.38596449778182984,0.6648178095290228,0.5112657315623208,0.4403840765502028,0.19931488359843497,0.40804625905766456,0.24600355741746827,0.9188619313197931,0.46762411881290894,0.8809799977128352,0.6901774056891095,0.4967919426759624,0.9994125551017655,0.5540167941898817,0.578482181362893,0.33185050187146736,1.2699068557557935,0.001813716075693436,1.1024164196267656,-73.99068557557935
13,LHS,0.9002460051080285,0.508869040922236,0.7668435984213325,0.8800558028624431,0.06931871563827138,0.3923609738268164,0.031913010366049835,0.5543479149440891,0.13384726640009656,0.9378681980248778,0.6597392340046607,0.6230213152293674,0.488437154841578,0.5819651633353446,0.18406627393167857,0.01322908475784341,0.6082868915860078,0.08795948461698445,0.10966772593152488,0.2520877258606094,0.8028024127338924,1.2717928074824283,0.001749117418824526,1.1030980007641673,-74.17928074824283
14,LHS,0.6710118069000625,0.22492630155756618,0.8616785922059279,0.42216594777017796,0.03390340164524086,0.31548657566679034,0.8394723234839409,0.8573735497663014,0.7628869990014545,0.3746049202724885,0.3650674404410401,0.9315889065112911,0.3226364028861013,0.010012131354524719,0.7148204634027543,0.21833976636239008,0.8478367423882293,0.5439752953168088,0.3268730572075313,0.628680227496802,0.017600209727048684,1.2755157212716957,0.0014983744720449864,1.107776065070653,-74.55157212716956
15,LHS,0.9353473454329849,0.9061259977853631,0.5365071292928904,0.3528645423730199,0.3625317242579072,0.33565699945727284,0.9033080436583312,0.7131010776387586,0.8462379225047222,0.6153177642007326,0.6763170183177749,0.4221002270014701,0.7629799367759517,0.03797451029812165,0.8253290107171538,0.09069741215804747,0.13326653907984115,0.0362556075328195,0.14275780365761406,0.16299714340829044,0.37182278498494664,1.2737839830877327,0.0015981544523288906,1.113974939621185,-92.37839830877327
16,LHS,0.16402511810472403,0.2576190103257937,0.13654185503268,0.5017794493694271,0.32951644638783884,0.9178088820580812,0.6999754395531917,0.4557310554314901,0.06159377487140147,0.755691254472692,0.9181659149217408,0.35407268461557817,0.2891645584622692,0.7751375222898778,0.6773287305548855,0.828575241552978,0.6231958163479878,0.011876930165726397,0.6259448568616326,0.5410380062357466,0.7565576836109281,1.2698897490897432,0.0019008365929542729,1.1066168513228933,-85.98897490897431
17,LHS,0.3389098689857759,0.0696624106784603,0.5666779599577052,0.2796878823419416,0.10778517809719104,0.4967471231694414,0.9697858607802564,0.20394824208220755,0.7939275472002673,0.14515773844050436,0.4813546829636502,0.5740656178242156,0.5306009292399573,0.20104077369248186,0.048040696085828456,0.4065502217285541,0.35237666721654826,0.6345107875381945,0.801450461873828,0.8351075704617849,0.3489471100778124,1.2730817169505586,0.0017461489763521936,1.102634677276577,-74.30817169505586
18,LHS,0.7671300049228498,0.8130642858700728,0.456861303742975,0.6684405559211538,0.7283249585025169,0.12557306766320722,0.9895455701810882,0.6392602348632133,0.45228443788878775,0.7791334816665599,0.5800422617439711,0.17081850891136716,0.5656368365557998,0.38550217560180244,0.2058817222230772,0.6476084343026264,0.41632492539198324,0.237380056615507,0.39373890246676885,0.8251289159626641,0.2372625532833736,1.2718355108037351,0.0018113499965447613,1.1148390281809335,-74.18355108037352
19,LHS,0.2377134964703363,0.6027242391265974,0.6133766140134569,0.20051961012690234,0.6913725441389968,0.8334157039489563,0.19779999932478487,0.4921136545037767,0.08786398389830727,0.830377235225795,0.44446931304238224,0.981508757330374,0.8986076384567,0.6085988686948851,0.47508240558620485,0.16586112491098698,0.1599769983877459,0.4404716145787046,0.8117564460918829,0.4389387714663084,0.5024822714685865,1.2707453051927888,0.001610387350642981,1.1022010933766908,-80.07453051927888
20,LHS,0.25954808224090303,0.47121770248625844,0.8331825046075361,0.9430095023051557,0.6498354117320075,0.42218106080946066,0.021151310538128097,0.9208497543632479,0.2761880016624094,0.0888621151766201,0.9464501269396588,0.00633032224710054,0.9528299782228156,0.4211672161484616,0.2488846861236926,0.27217271914669294,0.9687521200192877,0.3470963613835282,0.28485588532419875,0.17694411542843336,0.44857969167327955,1.2701449509700002,0.0018212025676275225,1.0998381843565204,-74.01449509700002
21,LHS,0.6623551946544142,0.7295938585573567,0.16130440303141935,0.40914559024117225,0.785835980631075,0.1672165337528144,0.5385682331673036,0.6929305468057974,0.9551025286131242,0.6654902624561064,0.8921070635731438,0.6747339365249828,0.13407978204381937,0.6641188609493278,0.7449018547533245,0.5283325783457169,0.2650399821539308,0.8115533069905164,0.7045442127192284,0.12298852361226006,0.3015241595926375,1.2714904038860408,0.0020271370593081942,1.1066197340469188,-80.14904038860408
22,LHS,0.5014993207344973,0.6305182602079245,0.4839439662275683,0.7583395570947481,0.6208546345765192,0.27942793306401337,0.8847655836133317,0.09699020170980716,0.016554600257200944,0.7090508686254828,0.27446617982784044,0.1629418163924232,0.4644979015060762,0.2693137610066436,0.5714471329532959,0.06636145702676033,0.7045936356272704,0.7663385862059564,0.8497560247380918,0.29951031870286215,0.9281026042108608,1.27269253603171,0.002000950657921298,1.1155317324527665,-68.26925360317101
23,LHS,0.018971085796743392,0.16566500460340658,0.07171110988453165,0.04238520346971749,0.9381779758832164,0.23409839074660788,0.6231730027657799,0.11938882830248969,0.537556986605522,0.287432415096638,0.32454960689377654,0.2003491049448346,0.7347459893444533,0.7935717168005586,0.5103885421960818,0.6010928518208263,0.31909057653870115,0.6462026197643828,0.364266586479897,0.9466373000751336,0.5971213076338029,1.2708373975572742,0.0018989629674699723,1.1228425320816098,-86.08373975572742
24,LHS,0.318881246812762,0.20000359970100454,0.18570970300710551,0.9767393788237482,0.5973849542634049,0.6356706465462425,0.38688724591464047,0.8932779663600149,0.9151231134192533,0.8810941267740651,0.4351630544305126,0.9674168209669003,0.18572518417216696,0.47936965092430317,0.9440365876788869,0.9214674048744254,0.05954033267848449,0.18410384518912365,0.023510752803871257,0.51108776644597,0.4133424290037529,1.2737175000968923,0.0018831644304903633,1.1087611220295883,-92.37175000968924
25,LHS,0.4343077955256041,0.5567103005305286,0.7223482090948989,0.5341081974623726,0.7135844025022009,0.8975648597453864,0.5915164898476664,0.3781155084676764,0.5655308712614956,0.6941464543062312,0.13308173170549328,0.48541421380646493,0.16211801932615844,0.07872480922565184,0.4212137697069378,0.5003018610365665,0.20677862699920976,0.47669250747550795,0.9447132871020479,0.7460667808730896,0.9875487329651569,1.271518371264666,0.0019584710370627373,1.1066046029648486,-86.1518371264666
26,LHS,0.8502063134488356,0.997776408787606,0.5901297174223683,0.5712839159077058,0.15362980738359996,0.5791479729496323,0.30052981521580924,0.7525804549401052,0.3876486364173812,0.5768652143071192,0.5196650186023741,0.5974945127110671,0.5948209674162557,0.18074194511525926,0.3309967962623088,0.3821203484984524,0.7821225448677072,0.6767336472089317,0.9819680819407145,0.23138324290690682,0.0899193605822353,1.271922590464625,0.0020431119592769545,1.1104418249634562,-80.1922590464625
27,LHS,0.30394143106329313,0.9620386559740941,0.6516797934649534,0.1294873199084076,0.47654225351980034,0.7088174303170196,0.5619825669594617,0.3929995689755231,0.34708912547490284,0.16917910433690697,0.9836910016517505,0.11527015836572994,0.379428033455791,0.8750328622630144,0.5963496933054284,0.7193061190028869,0.43337354148051277,0.557851731318009,0.7602546599898683,0.9395137060434176,0.7405873434552888,1.2738013955190584,0.0019489182292953113,1.121637985438675,-74.38013955190584
28,LHS,0.8280110275093695,0.6659771352278174,0.8353483205971104,0.23754979643730914,0.9914573590994227,0.955597855790063,0.47201904288074953,0.8811660525944218,0.17491573706391966,0.899061950748076,0.583838723679374,0.5105456191761655,0.04229150351034076,0.6177379843559998,0.4471297813343319,0.28553622370226805,0.5287996882347394,0.3949443008128284,0.33703329338161314,0.9968304424671212,0.9518774026946171,1.271084525996872,0.0018751829715191934,1.1064529803989587,-68.1084525996872
29,LHS,0.5433308694575731,0.31796933882190903,0.3151638219588234,0.13972735786928975,0.5559839421824548,0.46421588206978043,0.5073957361822801,0.8125004572795759,0.3237085316301931,0.3576702840315494,0.35997369554761893,0.5339626909019672,0.8752861182828637,0.7226238841806966,0.8481951817723985,0.47283563947017115,0.9885673332723872,0.5890643847066674,0.6920883535468936,0.7623482858295065,0.5610538948059521,1.2709974770464056,0.001982670400610034,1.1229719695768046,-92.09974770464056
30,LHS,0.057647175910558644,0.9215949141495159,0.5267508131333006,0.6007582682970352,0.24864726465794856,0.16363104746904006,0.3423526214259032,0.06352060565800838,0.6451744254791215,0.0315150958873427,0.2294602369867636,0.088864677997038,0.27641767472713114,0.24348513470996394,0.6493917285173543,0.448385408204866,0.5832083298627873,0.12459362938565695,0.7311864611287668,0.3602886864130941,0.6277401234012948,1.2710482792423594,0.0019347346762766224,1.114809468170428,-80.10482792423593
31,LHS,0.5862323644060085,0.3702329775317817,0.7156206010177611,0.004089413065780204,0.43477690490529125,0.1985182035793317,0.43614045413558594,0.23360221525324587,0.7389738870070046,0.07569930414569258,0.058706734384114743,0.8559001755016807,0.41431078913233993,0.29605758504039836,0.007843357009956456,0.8942380109451032,0.027812684164812085,0.21398994286080097,0.4608905013574644,0.801754964499177,0.20625355751047128,1.2734298080220512,0.0020888423923776356,1.1133431807397534,-92.34298080220512
