index,episode,bit_00,bit_01,bit_02,bit_03,bit_04,bit_05,bit_06,bit_07,bit_08,bit_09,bit_10,bit_11,bit_12,bit_13,bit_14,bit_15,bit_16,bit_17,bit_18,bit_19,bit_20,keff,ppf,fitness
0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2715242632640462,1.121214168592446,56.107621316320234
1,2,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1.2731348014797441,1.1047682053661312,44.115674007398724
2,3,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1.2694189304549675,1.1259730535080748,68.09709465227483
3,4,0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1.2740854637377728,1.1209582847998254,44.12042731868886
4,5,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1.275041360866515,1.1634910660235962,64.12520680433258
5,6,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1.2685379992570665,1.119068235485993,56.09268999628533
6,7,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1.2721075748216613,1.1100375736348222,48.1105378741083
7,8,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1.264062399406757,1.1204884563815518,68.07031199703378
8,9,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1.2743487178133353,1.126613447090101,52.121743589066675
9,10,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2733546645959246,1.1519337644558718,56.116773322979626
10,11,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1.2743513564543003,1.1136179086055145,52.121756782271504
11,12,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1.2737712095994962,1.1206791897362338,48.11885604799748
12,13,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1.271899776580251,1.1153467729604056,52.109498882901256
13,14,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1.2737695642066127,1.141230757801003,44.118847821033064
14,15,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1.2687294356969496,1.13667623022365,52.09364717848475
15,16,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2699013634100789,1.120112826780951,60.0995068170504
16,17,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1.2732088259746028,1.116884261927527,52.11604412987302
17,18,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1.2669305513263354,1.1156570709507159,44.08465275663168
18,19,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2640623994067937,1.120488456381552,68.07031199703397
19,20,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1.271276681006514,1.1316691538224195,52.10638340503257
20,21,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2750413608665088,1.163491066023596,64.12520680433255
21,22,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1.2791840352532915,1.121855858326457,48.14592017626646
22,23,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2640623994067912,1.1204884563815523,68.07031199703395
23,24,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1.2727354361251642,1.120690648770361,56.11367718062582
24,25,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2682558762828697,1.1575955224891705,52.091279381414346
25,26,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1.2706976995803838,1.1213605449559905,48.10348849790192
26,27,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1.2713959872694756,1.1224187782037884,64.10697993634737
27,28,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1.2713959872694849,1.1224187782037887,64.10697993634743
28,29,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1.2687294356969443,1.1366762302236506,52.09364717848472
29,30,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1.2705860089608496,1.1396171486612057,52.102930044804246
30,31,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1.2703667692333982,1.1128338990247328,56.10183384616699
31,32,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2688871375042328,1.1595184791793898,60.09443568752116
32,33,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1.2791840352532953,1.1218558583264577,48.14592017626648
33,34,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1.2692142885560942,1.1132925726860003,40.09607144278047
34,35,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1.2698452712610968,1.097048479354837,64.09922635630548
35,36,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1.2681178880510464,1.106765546664658,52.09058944025523
36,37,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1.270830739622971,1.1165062734837894,52.10415369811486
37,38,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2715242632640371,1.1212141685924455,56.107621316320184
38,39,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2680422372682831,1.1248411871092125,60.09021118634141
39,40,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1.275288645352979,1.1262395966888168,52.1264432267649
40,41,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1.2694189304549566,1.1259730535080748,68.09709465227478
41,42,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1.2701695037377998,1.1196625499150408,48.100847518689
42,43,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2699741982348938,1.1195768404795157,64.09987099117447
43,44,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1.2690932004824478,1.1194442447733095,48.09546600241224
44,45,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1.2711113902721054,1.1326282741757157,48.105556951360526
45,46,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1.2729131785960661,1.1190738746674065,52.11456589298033
46,47,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2678790287842,1.1293935627954697,52.089395143921
47,48,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1.268846772836132,1.102829222782982,68.09423386418067
48,49,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2699013634101064,1.1201128267809513,60.09950681705053
49,50,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1.2672648725154207,1.1165273098596544,56.0863243625771
50,51,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1.2698814802212208,1.129236060320482,52.099407401106106
51,52,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1.2681418450309199,1.144966301835298,56.0907092251546
52,53,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1.2740671885453894,1.0991563183405528,56.120335942726946
53,54,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2640623994067741,1.120488456381552,68.07031199703387
54,55,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1.2710014438909552,1.1089057137918763,60.10500721945478
55,56,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1.271793567159534,1.1239387909728134,56.10896783579767
56,57,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2742713904997585,1.120924592333268,52.12135695249879
57,58,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1.2711434388572562,1.1132629905972469,56.10571719428628
58,59,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1.2717660639779538,1.1277618635543312,44.10883031988977
59,60,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1.272454309526339,1.1109728461242339,40.11227154763169
60,61,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1.2643560866830266,1.1190664910412327,60.071780433415135
61,62,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1.2703375076551995,1.107878857656451,52.101687538275996
62,63,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1.270630287397907,1.1212167649195202,56.103151436989535
63,64,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1.2658832624552392,1.1150420526203622,40.079416312276194
64,65,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1.2740021276227345,1.106149804875296,60.12001063811367
65,66,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1.2692811356681752,1.1197390182923623,56.09640567834088
66,67,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1.2721994959250886,1.1273841459264542,60.110997479625446
67,68,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1.2721767590197515,1.1310956343793517,52.11088379509876
68,69,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1.2699048915835058,1.102720701695727,68.09952445791752
69,70,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1.272451649669202,1.1178858281782553,52.11225824834601
70,71,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2704299002666442,1.1308315926149348,60.10214950133322
71,72,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1.2691313357265586,1.1110311527053047,56.09565667863279
72,73,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1.27323481516789,1.1098351862250648,52.11617407583945
73,74,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1.274210022633497,1.126469822771057,56.121050113167485
74,75,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1.267978309323747,1.1188164294524725,52.08989154661874
75,76,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1.273636832211038,1.1226267212572965,68.1181841610552
76,77,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1.2725345842097833,1.112973757753861,56.11267292104892
77,78,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1.2687693773417785,1.1181530605910037,52.093846886708896
78,79,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1.2712762582281925,1.1232455825559438,52.10638129114096
79,80,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1.2745545708714419,1.1017590771284498,52.12277285435721
80,81,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1.2708702293777285,1.1237267863586706,64.10435114688865
81,82,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1.2670438964919606,1.1171429627145129,56.085219482459806
82,83,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1.2736894436536592,1.129068155285929,56.118447218268294
83,84,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1.268141845030923,1.1449663018352978,56.09070922515461
84,85,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1.2757752768111217,1.1184882152730053,52.12887638405561
85,86,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1.2715711571678678,1.1365614623056761,52.10785578583934
86,87,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1.2696392053376082,1.1238199695390667,56.09819602668804
87,88,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1.271342769188341,1.1237932729891194,48.106713845941705
88,89,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2710107988297732,1.1167702174582905,60.10505399414887
89,90,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1.2735133413215574,1.1168769115213761,56.11756670660779
90,91,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1.273636832211051,1.1226267212572967,68.11818416105525
91,92,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1.276220808899835,1.1190980254917373,48.131104044499175
92,93,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1.271010798829772,1.1167702174582907,60.10505399414886
93,94,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2741352242200916,1.1299792172859282,56.12067612110046
94,95,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1.2670637371874867,1.123442608436108,52.08531868593743
95,96,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1.2687294356969425,1.13667623022365,52.093647178484716
96,97,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1.271066151133054,1.124691704059658,56.10533075566527
97,98,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1.2718997765802533,1.115346772960406,52.10949888290126
98,99,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1.2735077115299476,1.115586459432656,44.11753855764974
99,100,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2750413608665108,1.1634910660235964,64.12520680433255
100,101,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1.2643911712331237,1.140118433831895,52.071955856165616
101,102,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2704299002666501,1.1308315926149346,60.10214950133325
102,103,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1.2701920068919867,1.103461141246342,56.10096003445993
103,104,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2710107988297719,1.1167702174582907,60.10505399414886
104,105,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1.2692671023616702,1.1180242268554472,52.09633551180835
105,106,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1.2673801994039813,1.1120074065519443,56.0869009970199
106,107,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.268255876282874,1.1575955224891699,52.09127938141437
107,108,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1.2695588601232684,1.116521737786183,56.09779430061634
108,109,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2640623994067925,1.1204884563815527,68.07031199703397
109,110,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1.267068518363753,1.1262466195954408,40.085342591818765
110,111,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1.267423765062625,1.145504385120348,52.08711882531313
111,112,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2746877588314696,1.1514563859834894,52.123438794157344
112,113,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1.2710193115154973,1.121305476524804,60.10509655757749
113,114,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1.273413539011679,1.1202366843467075,56.117067695058395
114,115,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1.2735077115298656,1.1155864594326559,44.117538557649326
115,116,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1.2712791801196046,1.1194107542896274,52.106395900598024
116,117,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1.275338071792402,1.1312887860029612,40.12669035896201
117,118,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1.2676942714969863,1.1296808901398196,52.088471357484934
118,119,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1.266177148782274,1.1386234793549028,48.08088574391137
119,120,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1.2745099616860807,1.1360991410771455,44.122549808430406
120,121,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1.2722662911009819,1.1380295267070948,72.11133145550491
121,122,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2754924803648335,1.1277249202710078,56.12746240182417
122,123,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1.26980360452859,1.115056132083153,52.09901802264295
123,124,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1.2673801994039766,1.1120074065519439,56.08690099701988
124,125,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1.2713959872694702,1.1224187782037884,64.10697993634736
125,126,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1.271395987269479,1.1224187782037884,64.1069799363474
126,127,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1.2681178880510473,1.106765546664658,52.090589440255236
127,128,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2695850573961223,1.1204423274053006,56.09792528698061
128,129,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2742713904997707,1.120924592333268,52.12135695249885
129,130,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1.2737608264727287,1.1160683697834508,52.11880413236364
130,131,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2750413608665143,1.1634910660235964,64.12520680433258
131,132,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1.2656906499479135,1.111409525877327,52.07845324973957
132,133,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1.2641451059836204,1.1090907772296936,60.0707255299181
133,134,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1.2738445650633659,1.1315046484014821,52.11922282531683
134,135,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1.276099676211757,1.1339513859428398,56.130498381058786
135,136,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1.2694826771559635,1.1030667145369222,48.09741338577982
136,137,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1.2698998058820294,1.1315625726191347,56.09949902941015
137,138,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1.26928113566816,1.119739018292362,56.0964056783408
138,139,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1.275733589864637,1.1215866927525844,44.12866794932319
139,140,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1.2656261898700434,1.1506738476910563,60.07813094935022
140,141,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2732378741301604,1.1296535496289137,64.1161893706508
141,142,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1.2732348151678763,1.1098351862250648,52.11617407583938
142,143,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1.2738886408459158,1.1066529493153472,56.119443204229576
143,144,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1.2681418450309268,1.1449663018352976,56.09070922515463
144,145,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1.2724131112360386,1.1185019964399405,48.11206555618019
145,146,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1.2717956348134463,1.155023790610271,52.10897817406723
146,147,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1.275531538653907,1.130264787296434,52.12765769326953
147,148,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1.269901363410073,1.120112826780951,60.09950681705037
148,149,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1.275041360866513,1.1634910660235964,64.12520680433256
149,150,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1.26756506939587,1.1213907613609941,44.08782534697935
150,151,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1.275531538653879,1.1302647872964342,52.1276576932694
151,152,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1.2713959872694873,1.1224187782037887,64.10697993634744
