index,episode,bit_00,bit_01,bit_02,bit_03,bit_04,bit_05,bit_06,bit_07,bit_08,bit_09,bit_10,bit_11,bit_12,bit_13,bit_14,bit_15,bit_16,bit_17,bit_18,bit_19,bit_20,keff,ppf,fitness
152,153,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1.2736894436536617,1.1290681552859292,56.11844721826831
153,154,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1.2702258765089922,1.1227283192836381,52.10112938254496
154,155,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1.274691448806066,1.1216283382372183,52.123457244030334
155,156,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1.2724131112360393,1.1185019964399405,48.1120655561802
156,157,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1.2721792834615868,1.1094397396259088,48.110896417307934
157,158,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.268255876282872,1.1575955224891696,52.09127938141436
158,159,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1.2721978125645843,1.1371215286530654,52.110989062822924
159,160,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1.2742808693529362,1.1163654181953595,56.12140434676468
160,161,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1.2715642958484636,1.1314806829102781,52.10782147924232
161,162,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1.2730703413752158,1.135273741981741,48.115351706876076
162,163,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1.2728809363402607,1.1285443331280869,44.1144046817013
163,164,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1.2689968821452278,1.1200050476397583,44.09498441072614
164,165,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2640623994067837,1.120488456381552,68.07031199703391
165,166,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2746877588314542,1.1514563859834885,52.12343879415727
166,167,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1.2791840352532924,1.1218558583264575,48.145920176266465
167,168,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2699741982348671,1.1195768404795154,64.09987099117434
168,169,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1.2768999919011688,1.1126835844242922,48.134499959505845
169,170,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1.2731121502895444,1.1172206665792008,56.115560751447724
170,171,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1.267694271496978,1.1296808901398194,52.08847135748489
171,172,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1.2603109153328955,1.1397085464232788,52.05155457666448
172,173,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1.2717674688061387,1.1224699255142043,52.1088373440307
173,174,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1.2694429020711786,1.1236883547850698,56.09721451035589
174,175,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1.2736163053384977,1.1331045597342164,48.118081526692485
175,176,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1.26406239940679,1.1204884563815523,68.07031199703395
176,177,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1.2739449525143078,1.1465149526927942,56.119724762571536
177,178,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1.269004922628143,1.1206830120187359,56.095024613140716
178,179,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1.271214879293391,1.102953848259214,56.10607439646696
179,180,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.266761668070107,1.1333992954048078,56.08380834035054
180,181,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.268255876282871,1.1575955224891696,52.09127938141435
181,182,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1.2759565998758229,1.112593219801992,56.12978299937912
182,183,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1.274110962157428,1.106949450832786,48.12055481078714
183,184,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1.2657936644302656,1.1287323457249216,64.07896832215133
184,185,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1.2685379992570627,1.119068235485993,56.092689996285316
185,186,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1.2675650693958704,1.1213907613609937,44.08782534697935
186,187,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1.2719349225905952,1.1102937123021985,52.10967461295298
187,188,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1.2751770788460197,1.1357287467180313,60.125885394230096
188,189,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2750413608665048,1.163491066023596,64.12520680433252
189,190,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1.2747039338099158,1.111118873664208,52.12351966904958
190,191,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1.272017515662745,1.1273252988369076,60.110087578313724
191,192,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2710107988297747,1.1167702174582907,60.105053994148875
192,193,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1.2771274934684793,1.1112737699928337,48.1356374673424
193,194,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1.2785118719496742,1.1198395355341142,52.14255935974837
194,195,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2690049226281648,1.120683012018736,56.09502461314082
195,196,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1.2764446411887642,1.1216813261719403,52.13222320594382
196,197,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1.2782839330235232,1.122052021235875,44.14141966511762
197,198,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1.2730207206772253,1.1045372867404246,60.115103603386125
198,199,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1.2717043619254906,1.115246031516445,52.108521809627455
199,200,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1.2692811356681808,1.1197390182923623,56.0964056783409
200,201,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1.2681418450309225,1.1449663018352976,56.09070922515461
201,202,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1.271395987269476,1.1224187782037887,64.10697993634739
202,203,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2682558762828677,1.1575955224891699,52.09127938141434
203,204,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1.2671409865642567,1.1117980898201452,52.08570493282129
204,205,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2712267018609158,1.1189118500441155,56.10613350930458
205,206,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2630982249084204,1.119644305149314,60.0654911245421
206,207,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1.2757445866477384,1.0994073926722379,52.12872293323869
207,208,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1.2668729988672796,1.1106231292231263,52.0843649943364
208,209,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1.272119667374454,1.1152963225889443,52.11059833687227
209,210,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1.2724131112360493,1.1185019964399407,48.11206555618025
210,211,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2699741982348758,1.1195768404795154,64.09987099117438
211,212,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2678790287841855,1.1293935627954697,52.089395143920925
212,213,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1.275956599875824,1.1125932198019926,56.12978299937912
213,214,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1.2737871753336945,1.120200675775941,48.11893587666847
214,215,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1.2750835629685215,1.122354338780493,56.125417814842606
215,216,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1.2713959872694753,1.1224187782037882,64.10697993634737
216,217,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1.2757425146796628,1.1129962194636056,52.12871257339832
217,218,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1.2717956348134445,1.1550237906102714,52.108978174067225
218,219,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1.2739449525143007,1.146514952692794,56.1197247625715
219,220,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1.2726724293241043,1.122342180587046,48.113362146620524
220,221,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1.2684330543268683,1.1171691930182674,48.09216527163434
221,222,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1.2685936554697514,1.117187448015698,40.09296827734876
222,223,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1.2723173459278507,1.119314656539963,44.11158672963926
223,224,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1.2751328363777226,1.1233111837947583,52.12566418188861
224,225,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1.264062399406784,1.1204884563815516,68.07031199703393
225,226,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1.2692811356681801,1.1197390182923626,56.0964056783409
226,227,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1.2732088259746035,1.1168842619275265,52.11604412987302
227,228,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1.2768184167405625,1.1136993379367244,48.13409208370281
228,229,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2704299002666435,1.1308315926149346,60.102149501333216
229,230,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1.2661064207550368,1.1303871749887013,52.080532103775184
230,231,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2692166476411617,1.1164019446778097,60.09608323820581
231,232,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1.2732541744323034,1.1324994887497322,56.116270872161515
232,233,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1.2733647876740608,1.1098880727527594,60.1168239383703
233,234,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1.2726125847345797,1.1127604441834262,48.1130629236729
234,235,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1.2765903101390865,1.1168975378103356,44.13295155069543
235,236,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1.267063737187486,1.1234426084361082,52.08531868593743
236,237,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1.2736894436536488,1.1290681552859292,56.118447218268244
237,238,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1.272598897772223,1.129837285331153,48.11299448886111
238,239,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1.2726538248985941,1.1388737518420236,56.11326912449297
239,240,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1.2616371366957373,1.117174733097071,52.05818568347868
240,241,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.266761668070106,1.1333992954048078,56.08380834035053
241,242,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1.2688103895955058,1.1133025007019834,56.094051947977526
242,243,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1.2713959872694771,1.1224187782037882,64.10697993634739
243,244,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1.2684564145256216,1.1262191536276747,44.09228207262811
244,245,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2746877588314638,1.151456385983489,52.123438794157316
245,246,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1.2708724293636657,1.1118196276739214,52.10436214681833
246,247,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2742713904997596,1.120924592333268,52.1213569524988
247,248,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1.2685379992570678,1.1190682354859933,56.09268999628534
248,249,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1.2686178384617888,1.1245042905664349,52.093089192308945
249,250,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1.2741755670912194,1.133614549352203,52.1208778354561
250,251,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1.2710109000386447,1.1260038567920672,48.105054500193226
251,252,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1.267614401400395,1.1303939953487097,48.088072007001976
252,253,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1.2755535585147901,1.1137434475765904,52.12776779257395
253,254,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1.266306971883933,1.1583219144224974,52.08153485941966
254,255,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1.2726538248985946,1.1388737518420236,56.11326912449297
255,256,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1.2732421393322635,1.117600655869705,48.11621069666132
256,257,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1.2743513564542992,1.1136179086055145,52.1217567822715
257,258,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1.2722843208787429,1.1132341380282715,60.11142160439371
258,259,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1.2748467826979935,1.1328146991082948,48.12423391348997
259,260,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1.2670564469167862,1.1379415354630575,44.08528223458393
260,261,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1.2708189895389335,1.127939471216125,48.10409494769467
261,262,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1.2661881488771918,1.115032634088725,56.080940744385956
262,263,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1.2687372828699004,1.1279736955707456,52.0936864143495
263,264,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1.2725543422291938,1.1200211705144152,52.11277171114597
264,265,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1.273112150289576,1.1172206665792006,56.11556075144788
265,266,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1.2741946559312405,1.1638651331876868,56.120973279656205
266,267,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1.267926893030892,1.1206050247054093,60.08963446515446
267,268,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1.2641451059836066,1.1090907772296927,60.070725529918036
268,269,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1.2744374368542823,1.1059323694162515,68.12218718427141
269,270,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1.2689681711520837,1.117526525203974,44.09484085576042
270,271,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1.2719655473370424,1.1170639745824729,48.10982773668521
271,272,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2733546645959177,1.1519337644558716,56.11677332297959
272,273,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1.268913785007886,1.1187196445645269,48.09456892503943
273,274,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1.2709037160169279,1.110578322134567,48.10451858008464
274,275,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1.2743487178133661,1.1266134470901017,52.12174358906683
275,276,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1.271220445269846,1.1417632970469265,52.10610222634923
276,277,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1.2731977279048043,1.1077255361164335,48.11598863952402
277,278,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1.273874217080779,1.1072416324981527,48.1193710854039
278,279,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1.2732937695724897,1.1103805421649573,60.11646884786245
279,280,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1.271667589276617,1.1059179513993158,44.10833794638309
280,281,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1.2703888568953137,1.116021083276821,44.101944284476566
281,282,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1.2723850442340767,1.109448721236002,52.11192522117038
282,283,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1.2741109621574331,1.1069494508327855,48.12055481078717
283,284,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1.2688966270890392,1.1278478360585518,52.094483135445195
284,285,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1.2758369180841171,1.1199774192560994,48.129184590420586
285,286,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1.2690315726254526,1.1157532598590414,52.09515786312726
286,287,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1.2689009259112607,1.1219054760514735,56.094504629556305
287,288,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1.2700522333228659,1.1259841278991243,48.10026116661433
288,289,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1.2743276310851814,1.1135031498980628,56.121638155425906
289,290,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1.2755315386538852,1.1302647872964346,52.12765769326943
290,291,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1.2780095597783534,1.1083643831172523,56.140047798891764
291,292,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1.2700346966539076,1.122962768482503,56.100173483269536
292,293,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1.2785118719496782,1.1198395355341149,52.14255935974839
293,294,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1.2722456051812376,1.125116541497823,48.111228025906186
294,295,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1.273065877979294,1.1038420493961578,60.11532938989647
295,296,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1.2684488352081167,1.1153343380229541,48.09224417604058
296,297,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1.274394198898996,1.133661441707974,56.12197099449498
297,298,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1.2719253980247498,1.1055738710388339,48.10962699012375
298,299,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1.2704964908000365,1.1087821484147908,48.10248245400018
299,300,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1.2682375502731036,1.1178659204712047,44.09118775136552
300,301,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2741352242200825,1.129979217285928,56.12067612110041
301,302,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2741352242200816,1.1299792172859284,56.12067612110041
302,303,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1.2734135390116847,1.1202366843467073,56.117067695058424
303,304,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1.2759622484887698,1.1154597510589899,52.12981124244385
